id,vessel_id,t,lon,lat,heading,course,speed
9267973,4babbcb0d3d48cf988de1a317acb5a62ce72bf0a17e5510fa3d4ebdc9ff6fb7b,04/08/2019 07:46,23.599,37.94913,,0,0
9267974,d41d572bd004f3f65d29e6e72dce0ac3be8a541387ad83dd5265a5ca180602b9,04/08/2019 07:46,23.50946,38.02973,114,103.9,1.6
9267975,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.62046,37.87176,170,174,25.2
9267976,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61737,37.86897,175,174.7,24.2
9267977,3153ae7391c9841540b3672e610e747942a8d0d30b787572b653f2148577f6be,04/08/2019 07:46,23.5437,37.95037,,,0
9267978,da8ce411f6eb032f235332e1ece0dc61e8022bf8e18cebc06de9879e97f1f8c2,04/08/2019 07:46,23.55195,38.03587,,69.7,0
9267980,9a07029a6294dcf984fba483879732a7b9cc864ef7cd70003c0f7befb8a1252d,04/08/2019 07:46,23.5675,37.96012,,0,0
9267982,29b2c240d3ee158281fb4ad556939ee938d08685bd796a6877cbecd49a5655c4,04/08/2019 07:46,23.61491,37.9449,,8.6,0.1
9267983,eb842e3e3445e9e3180422bd59df277c692cf43a789908fc11f92bd97918c33d,04/08/2019 07:46,23.64183,37.9445,,350.1,0
9267985,1841939d3a9fa48ffc57e7c0ed2071d07cd51fe96e08dec2c306a2ac5a86a2c4,04/08/2019 07:46,23.5296,37.96515,,0,0
9267986,09a5f8d46a5c205eda52ec3231f6be2033fa20050635b8720947fd2818d7c21e,04/08/2019 07:46,23.55239,37.95297,272,296.6,0
9267987,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61739,37.86886,175,174.7,24.2
9267988,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.62049,37.87153,170,174,25.2
9267989,e21ce5e3044c8884528db8e831bd2cb62e834d51d204868183f06a6971dbb3b9,04/08/2019 07:46,23.52977,37.96509,,213.3,0
9267990,be3ab5b9100f0aadcf0c5828c2078a6215f640e6ae08c02b6fddad4b52226c67,04/08/2019 07:46,23.55287,37.90071,314,303,2.4
9267991,f83722e1d3a9edcad17dff23f15b7ec525c5ff4374650044ae8ffe8324a9d27a,04/08/2019 07:46,23.6043,37.81077,140,145,13.6
9267992,26199b57ef2b787a02bf09d81b98aa7ca1a984091c6a2b6d00ee43237a2535b0,04/08/2019 07:46,23.61285,37.94555,352,269.5,0
9267993,b4510b5d03cfa4f522dbd40f382adf6d5eb6dcedcf8f6ae6f713f0fcb913f1db,04/08/2019 07:46,23.56312,37.91882,,201,7.2
9267995,5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,04/08/2019 07:46,23.64118,37.9448,217,278.9,0.1
9267996,233e40fcef6e1d9247de2366e84ea2485434313798db9a64fd56aa77a8958365,04/08/2019 07:46,23.60703,37.92407,0,1,5
9267997,f14b2881f278eb54fc1ffdfce14734d4905faad2090fa8169d9fe49f651b527c,04/08/2019 07:46,23.53007,37.96546,,31.9,0
9267999,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.6205,37.87141,170,174,25.2
9268000,7f080c68ffb5cbe042d98b2524fc8a56db5bb75315f1063e6fa7440d20881f8e,04/08/2019 07:46,23.6204,37.90072,181,179,22.4
9268001,57139e85177dea04c5a366a3c24ca31a613754c1379d3e5cd844995e479ddf07,04/08/2019 07:46,23.64235,37.94327,,77.2,8.3
9268002,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61743,37.86853,175,174.5,24.2
9268003,b8ed6fea5f97d4829a0d7e692adfcc0d1967309e64f6d20c9bfa54a24bedf5c3,04/08/2019 07:46,23.6376,37.79642,153,151.7,17.1
9268005,0caad7fdcee927f8794a0619eb7c52f7b47755c424d1a8abbf9537e22d35af19,04/08/2019 07:46,23.55977,37.89765,,254.9,6.5
9268006,490201f75b5ddc3766b08b79c84ff3ff6f3737c31a890615ec8b11ed750b7b79,04/08/2019 07:46,23.6414,37.94448,,,0.1
9268008,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.62054,37.87106,170,174,25.2
9268009,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61744,37.86842,175,174.5,24.2
9268010,a26c06d63ea6a032843dfb84c5b3d25aa8e03d50515ef707457719b324256089,04/08/2019 07:46,23.68151,37.92998,36,6.4,0
9268013,1f0913ceba97d43fa952ae47d601e446c39f0a47352e4db8bc7732466e0a49fb,04/08/2019 07:46,23.61024,37.9575,,0,0
9268015,bac263db165c5cef0003ad51e8d9161990f7c2e9f9fab89feb46289f58a35b0d,04/08/2019 07:46,23.60012,37.94103,340,341,5.5
9268016,af8ab01cfe8ab02333ec5f7689f6711501246324b7d5d7fcf4e0391192860e2b,04/08/2019 07:46,23.64878,37.93326,137,,0
9268018,8406aa01dbd09a832e2a9825f28f900e03c718f86c16650ef69afec1d795cdca,04/08/2019 07:46,23.5971,37.95212,,333.3,1.4
9268019,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.62057,37.87083,170,174,25.2
9268020,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61748,37.86808,175,174.2,24.1
9268022,5b354bb4aa983f99d965725d47e158222b613f0c694866d99abc05aa96774164,04/08/2019 07:46,23.59951,37.9412,,3.3,3.8
9268023,d9a6214a809d5ff6b05f6036903d82357a355f8e6f3ccefdec97648e72238f86,04/08/2019 07:46,23.68475,37.93707,,,0
9268025,2c9d1c660fa17f69e407f72debbb57f21457b0023d188db86b234b402b817f66,04/08/2019 07:46,23.5981,37.94911,,,0
9268026,f83722e1d3a9edcad17dff23f15b7ec525c5ff4374650044ae8ffe8324a9d27a,04/08/2019 07:46,23.60457,37.81052,139,143,13.6
9268028,9ea327071a3ab8fb39601c3c7ff79397fc7de77f7fb2aa8d25daa2631400b133,04/08/2019 07:46,23.6824,37.93191,,0,0
9268029,3153ae7391c9841540b3672e610e747942a8d0d30b787572b653f2148577f6be,04/08/2019 07:46,23.5437,37.95037,,,0
9268030,3445b031e5caed8a7082aa0ac1247e05ac6c4144478b6056044312345d9cf115,04/08/2019 07:46,23.551,37.95461,277,0,0
9268032,1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,04/08/2019 07:46,23.6206,37.8706,170,174,25.2
9268033,3d992f7b1343d7665b5768bd6e4fb8044fec0b2c3f78463bcf1105f8ff16e797,04/08/2019 07:46,23.68048,37.93116,64,158.2,0
9268034,8be4c17e6c22819d92843b1a5bc575e9f91932f8da33a3cdec145eebfbe9dd63,04/08/2019 07:46,23.61751,37.86786,175,174.5,24.1
9268036,7f080c68ffb5cbe042d98b2524fc8a56db5bb75315f1063e6fa7440d20881f8e,04/08/2019 07:46,23.62038,37.90008,182,179,22.5
9268037,b9c2e66d0b02559e9cebc08025e252b7bb82837291d5b9c28991fd5bf557ad03,04/08/2019 07:46,23.60983,37.927,340,338,19.1
9268038,cc41d3f249146e80540771912150e3e009ce3aa631ca9fb4b9bfb9331c2c7987,04/08/2019 07:46,23.6286,37.94098,107,143,1.9
9268039,c2fdc46613a781f229895e2a8591fba33194aede439531587506fcb2052f9d25,04/08/2019 07:46,23.5259,37.96298,,225.4,0
9268040,eb842e3e3445e9e3180422bd59df277c692cf43a789908fc11f92bd97918c33d,04/08/2019 07:46,23.64183,37.9445,,334.8,0
9268041,29b2c240d3ee158281fb4ad556939ee938d08685bd796a6877cbecd49a5655c4,04/08/2019 07:46,23.61491,37.9449,,44.4,0.1
9268042,65524e5746173a6a113466d14566ef5ff98d7a39b1d5acdc2578485cffaabd59,04/08/2019 07:46,23.68387,37.92861,23,215.2,0
9268043,ea73c8c2326400a107364cacb33e2984e289b2be6f396fb918e368e31a0e7d52,04/08/2019 07:46,23.60246,37.93659,,173.7,7.5
9268044,5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,04/08/2019 07:46,23.64118,37.9448,217,278.9,0
